key,type,id,value
source,regular,539189837,IBGE
source,regular,539189838,IBGE
source,regular,539189840,IBGE
source,regular,539189841,IBGE
source,regular,539189842,IBGE
source,regular,539189843,IBGE
source,regular,539189851,IBGE
source,regular,539189852,IBGE
source,regular,539189853,IBGE
source,regular,539189854,IBGE
source,regular,539189855,IBGE
source,regular,539189856,IBGE
source,regular,539189859,IBGE
source,regular,539189860,IBGE
source,regular,539189861,IBGE
source,regular,539189862,IBGE
source,regular,539189863,IBGE
source,regular,539189936,IBGE
source,regular,539189937,IBGE
source,regular,539189938,IBGE
source,regular,539189939,IBGE
source,regular,539189940,IBGE
source,regular,539189941,IBGE
source,regular,539189942,IBGE
source,regular,539189943,IBGE
source,regular,539189944,IBGE
source,regular,539189945,IBGE
source,regular,539189946,IBGE
source,regular,539189947,IBGE
source,regular,539189948,IBGE
source,regular,539189949,IBGE
source,regular,539189962,IBGE
source,regular,539190183,IBGE
source,regular,539190185,IBGE
source,regular,539190186,IBGE
source,regular,539190188,IBGE
source,regular,539190189,IBGE
source,regular,539190190,IBGE
source,regular,539190191,IBGE
source,regular,539190192,IBGE
source,regular,539190193,IBGE
source,regular,539190195,IBGE
source,regular,539190198,IBGE
source,regular,539190200,IBGE
source,regular,539190201,IBGE
source,regular,539190202,IBGE
source,regular,539190203,IBGE
source,regular,539190205,IBGE
source,regular,539190206,IBGE
source,regular,539190207,IBGE
source,regular,539190208,IBGE
source,regular,539190209,IBGE
source,regular,539190212,IBGE
source,regular,539190213,IBGE
source,regular,539190214,IBGE
source,regular,539190215,IBGE
source,regular,539190216,IBGE
source,regular,539190221,IBGE
source,regular,539190222,IBGE
source,regular,539190321,IBGE
source,regular,539190326,IBGE
source,regular,539190338,IBGE
source,regular,539190339,IBGE
source,regular,539190340,IBGE
source,regular,539190341,IBGE
source,regular,539190343,IBGE
source,regular,539190352,IBGE
source,regular,539190353,IBGE
source,regular,539190354,IBGE
source,regular,539190355,IBGE
source,regular,539190556,IBGE
source,regular,539190557,IBGE
source,regular,539190558,IBGE
source,regular,539190664,IBGE
source,regular,539190665,IBGE
source,regular,539190672,IBGE
source,regular,539190673,IBGE
source,regular,539190681,IBGE
source,regular,539190683,IBGE
source,regular,539190684,IBGE
source,regular,539190685,IBGE
source,regular,539190686,IBGE
source,regular,539190689,IBGE
source,regular,539190692,IBGE
source,regular,539190693,IBGE
source,regular,539190694,IBGE
source,regular,539190696,IBGE
source,regular,539190697,IBGE
source,regular,539190699,IBGE
source,regular,539190700,IBGE
source,regular,539190701,IBGE
source,regular,539190702,IBGE
source,regular,539190706,IBGE
source,regular,539190707,IBGE
source,regular,539190708,IBGE
source,regular,539190709,IBGE
source,regular,539190742,IBGE
source,regular,539190744,IBGE
source,regular,539190877,IBGE
source,regular,539190897,IBGE
source,regular,539190916,IBGE
source,regular,539190961,IBGE
source,regular,539190966,IBGE
source,regular,539190969,IBGE
